year,month,month_day,date_mm_dd_yyyy,any_birds_found_on_route_shift,route_shift,route_name,building_name,building_face_direction,species,found_dead_alive,picture_url_google_photos_album
2019,9,2019-09-16,2019-09-16,Yes,AM,North Quad,Grainger Engineering Library Information Center_324,North,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMX5Kkoobd9cpgQfyy-6DK0-jVzg-i7tJhYsSXR?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Tennessee Warbler_Oreothlypis peregrina,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNqNUlOsZGF3ue7JqgPRqt8goEkbs2hJq0vmIJ8?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Northern Parula_Setophaga americana,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNI7mW6fhErTUcQedIefxQoJL_DRfHerZHChBdN?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMo3vXFAa6znS8ahEE74ggDkPsJu9IYu58kthxq?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Magnolia Warbler_Setophaga magnolia,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMwaW6SqRJvHTOeIrZ_ukNW4RQF011OiPh6g6oJ?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Electrical and Computer Engineering_409,South,Tennessee Warbler_Oreothlypis peregrina,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMZCVvUYK_RTxp7yOGEGwL6hCESkeatknRxFNGk?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,NA,Dead,NA
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,"American Redstart_Setophaga ruticilla
",Dead,Male redstart found in freezer -ABL
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPz2u60T9bp_nc89C5qKRylzMzKGJ0sVg9ZUc5V?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,North,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP1YelqYkmsKFPDAGGsjTmcxyI5usp6DUAVjmLr?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
2019,9,2019-09-16,2019-09-16,Yes,PM,North Quad,Beckman Institute_228,South,Unidentifiable,Dead,https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOgZjuQZHCD1dVJzic_QW9RLx5B_zgghiropnym?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR
